trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.86373184528108,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-178.71637537854855,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-64.46427181618652,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-92.82358067045237,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-195.62562639309985,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-59.73579355548687,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,8,-126.8288049319274,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-83.02877481360441,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-134.53729333969542,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-46.832929250316596,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,5,-16.64616592759421,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-141.85827977940028,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,15,2.1626485598382263,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-18.013814201710467,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,19,9.640932881747272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,7,15.888806801009984,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,4,25.181841184462517,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,4,-4.932844179481055,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,6.994278556546241,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,5,-12.93397176671827,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,11,32.92514997859358,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,15,23.808033152206367,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,30.340982070956116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,9,-5.03429151274679,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,17,21.725670510930033,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,34.17474372630728,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,14,-14.729238342679418,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",35,0,16.80713912723165,"{0: 31, 1: 3, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,18,12.596962700790726,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,12.96131070165536,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
