trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 1.0}",35,0,-316.03196282550914,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 5}",0
2,False,"{'a': 0.2, 'e': 0.98}",25,0,-168.7719177574648,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9603999999999999}",20,0,-31.050720607702694,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9411919999999999}",20,0,-142.96935383860114,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9223681599999999}",20,0,-278.8174984333924,"{0: 6, 1: 3, 2: 5, 3: 1, 4: 5}",0
6,False,"{'a': 0.2, 'e': 0.9039207967999999}",20,0,-120.71359482839365,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.2, 'e': 0.8858423808639999}",20,12,-31.43474291974953,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.2, 'e': 0.8681255332467199}",20,0,-101.64182903784204,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.8507630225817855}",30,0,-83.88465899943844,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.8337477621301498}",20,0,-153.52179853329963,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.8170728068875467}",25,8,-84.34446649027272,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 1}",1
12,False,"{'a': 0.2, 'e': 0.8007313507497958}",20,6,-87.80463720607477,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.2, 'e': 0.7847167237347998}",20,0,-37.65093660673147,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.7690223892601038}",30,0,-122.17004414709263,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.2, 'e': 0.7536419414749017}",20,8,-47.00386949110481,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.7385691026454038}",30,0,-89.52215349818323,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.7237977205924956}",20,0,-79.72821667087597,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.7093217661806457}",25,0,-122.82270652623407,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.2, 'e': 0.6951353308570327}",20,0,-118.91132706231303,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.2, 'e': 0.6812326242398921}",25,5,-64.25948114115167,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.2, 'e': 0.6676079717550942}",20,5,-21.43053596877677,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.2, 'e': 0.6542558123199923}",20,8,-3.5129796437586136,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.2, 'e': 0.6411706960735924}",25,0,-54.37944577939852,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.6283472821521207}",25,0,16.632770775923632,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.6157803365090783}",25,0,-112.44451137049734,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.6034647297788966}",25,0,-63.11674804688238,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.5913954351833187}",20,16,7.584544443316981,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.2, 'e': 0.5795675264796523}",20,0,-6.719039567984391,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
29,False,"{'a': 0.2, 'e': 0.5679761759500592}",35,9,3.5478740860272215,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.2, 'e': 0.5566166524310581}",20,11,-29.497744815209533,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.5454843193824369}",25,0,-127.80647653136965,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.5345746329947881}",25,1,19.394363136957708,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.2, 'e': 0.5238831403348924}",20,0,-39.78051600779435,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
34,False,"{'a': 0.2, 'e': 0.5134054775281945}",20,9,-25.488296726772703,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.2, 'e': 0.5031373679776306}",20,0,-43.56736209157222,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.2, 'e': 0.493074620618078}",25,8,7.895719935473155,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.48321312820571644}",30,6,-28.918546002171073,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.2, 'e': 0.4735488656416021}",25,15,-24.08002471093091,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.46407788832877}",25,6,-17.502932912071625,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.2, 'e': 0.45479633056219465}",20,0,-71.16334144578558,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
41,False,"{'a': 0.2, 'e': 0.44570040395095073}",35,3,-91.71377663445729,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 2}",1
42,False,"{'a': 0.2, 'e': 0.4367863958719317}",25,19,10.750462851282347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.42805066795449304}",30,20,-32.715239440343986,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.2, 'e': 0.4194896545954032}",35,24,9.032714156229009,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.41109986150349515}",25,11,9.354141037148366,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.2, 'e': 0.4028778642734252}",20,0,-63.293393986413285,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.2, 'e': 0.39482030698795667}",25,5,-29.260980850622524,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.38692390084819756}",20,0,-37.29385985315707,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.3791854228312336}",20,3,19.22231366184197,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.3716017143746089}",25,6,-19.35640601874532,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.36416968008711675}",35,25,-4.14364002098339,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.3568862864853744}",20,8,-1.510888476375385,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.3497485607556669}",20,6,-11.905256485478475,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.34275358954055357}",30,0,-89.18324890471571,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.3358985177497425}",30,0,-17.726163805387955,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.3291805473947476}",25,0,-17.429464659398505,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.32259693644685267}",20,11,14.083415048163685,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.2, 'e': 0.3161449977179156}",20,1,11.312254818869802,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.3098220977635573}",30,14,4.1948936167911,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.30362565580828615}",20,15,-31.234719888110547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.2, 'e': 0.2975531426921204}",25,9,-34.96407501929406,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.2, 'e': 0.291602079838278}",25,18,1.7124368930735054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.2857700382415124}",20,8,9.000916137663728,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.2800546374766822}",30,11,-4.967581907998514,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.2744535447271485}",25,0,1.088808623343635,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
66,False,"{'a': 0.2, 'e': 0.2689644738326056}",20,0,8.249039395274181,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.26358518435595346}",20,0,-2.1852637216105393,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.25831348066883436}",30,16,-33.8923716997774,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.2, 'e': 0.2531472110554577}",30,10,-21.77597168686008,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.2480842668343485}",20,13,-11.007984630454274,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.24312258149766153}",25,15,-3.3742996612999083,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.2382601298677083}",25,11,-18.672864995718726,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.2, 'e': 0.23349492727035415}",20,0,27.55376171500457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.22882502872494703}",20,7,11.811574057966919,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.2242485281504481}",25,16,15.327675031044693,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.21976355758743912}",20,6,22.135688477665894,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.21536828643569034}",20,11,-1.7768714128698448,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.21106092070697655}",25,15,18.040593035394405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.206839702292837}",20,16,10.154414762930866,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.2, 'e': 0.20270290824698026}",20,11,15.217956418710509,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.19864885008204064}",30,0,-45.62485786893253,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
82,False,"{'a': 0.2, 'e': 0.19467587308039982}",35,18,13.55010814032999,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.2, 'e': 0.19078235561879184}",25,0,19.598167798571513,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.186966708506416}",25,5,7.448251903906696,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.18322737433628766}",20,15,9.200388817140535,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.1795628268495619}",25,19,-11.026926108052514,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.17597157031257069}",20,0,-7.102800867316732,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.17245213890631925}",25,13,5.660790663927096,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.16900309612819286}",20,10,7.369409664876,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.16562303420562902}",30,8,23.702709679353966,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.16231057352151643}",20,0,20.591749025438673,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.1590643620510861}",25,18,12.55809956673065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.15588307481006436}",20,0,-32.258369008554716,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.1527654133138631}",25,18,14.332750913242187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.1497101050475858}",25,6,-12.234023540626445,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.2, 'e': 0.14671590294663409}",25,6,16.12822347580638,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.1437815848877014}",20,12,15.421231051169949,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.1409059531899474}",20,9,17.326989998385912,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.13808783412614842}",20,13,-8.557706099330808,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.13532607744362546}",25,17,15.60069501022085,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.13261955589475294}",25,9,19.148491338632486,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.12996716477685788}",30,11,15.839829839831474,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.12736782148132073}",35,19,21.12228996612548,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.12482046505169431}",20,11,-35.22210288404382,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.12232405575066042}",25,12,-13.385686991127747,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.11987757463564722}",25,3,33.06867065143934,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.11748002314293426}",25,11,24.39749272028006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.11513042268007558}",25,7,-26.666325656368254,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.2, 'e': 0.11282781422647406}",25,11,17.44449777139876,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.11057125794194458}",25,17,16.673245426454596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.10835983278310568}",20,8,17.689153008690866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.10619263612744358}",20,7,21.91970315294856,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.1040687834048947}",20,11,4.730338627320225,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.1019874077367968}",30,16,2.6860864783553193,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.09994765958206087}",20,9,16.028700094701257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.09794870639041964}",20,7,10.41048378668162,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.09598973226261125}",20,14,10.880644922962995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.09406993761735902}",30,15,19.503527956529386,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.09218853886501184}",25,15,15.159097314755751,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.09034476808771161}",20,13,10.922938600759892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.08853787272595737}",25,13,11.008989981208945,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.08676711527143822}",20,7,14.008549493087664,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.08503177296600946}",20,6,25.042080824205684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.08333113750668926}",35,0,37.77585773036669,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.08166451475655548}",35,20,30.038545227470458,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.08003122446142437}",30,13,25.36581999208407,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.07843059997219588}",20,11,3.601297130994321,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.07686198797275196}",20,0,26.07519231522982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.2, 'e': 0.07532474821329692}",20,5,26.827302017544557,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.07381825324903098}",20,12,13.390503800826801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.07234188818405035}",25,8,32.32373082409366,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.07089505042036935}",30,17,23.932056947811436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.06947714941196197}",30,21,16.792736125154224,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
