trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.02585359837548,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.11543951479563,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.5995381096361,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.15727437402865,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.57592894791657,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-249.31683955337007,"{0: 20, 1: 1, 2: 8, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.06185538148364,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,2,-149.9907865703719,"{0: 13, 1: 7, 2: 5, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.71643371911226,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.73327051346858,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.04793206355524,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.463978652857534,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.9076332263188,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-191.5175592446297,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.3492361161941,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.02261979350858,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.39590048478806,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.39503141318258,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.58876672609804,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.67422464963872,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-82.59587890235579,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,2,-77.40662823896287,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-207.62026371020494,"{0: 17, 1: 4, 2: 10, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-202.14478692441153,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.12184982712319,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.37909148779502,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.41929736857064,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.86345070833802,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-61.35759277254734,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.01924406535468,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
